[00:15:49] [INFO] received Windows console close event; shutting log-core down
[00:21:08] [INFO] received Windows console close event; shutting log-core down
[00:23:59] [INFO] received Windows console close event; shutting log-core down
[00:25:45] [INFO] received Windows console close event; shutting log-core down
[00:28:38] [INFO] received Windows console close event; shutting log-core down
[00:38:43] [INFO] received Windows console close event; shutting log-core down
[00:46:07] [INFO] received Windows console close event; shutting log-core down
[00:52:25] [INFO] received Windows console close event; shutting log-core down
[00:53:48] [INFO] received Windows console close event; shutting log-core down
[02:12:19] [INFO] received Windows console close event; shutting log-core down
[02:18:28] [INFO] received Windows console close event; shutting log-core down
[03:02:25] [INFO] received Windows console close event; shutting log-core down
[14:15:26] [INFO] received Windows console close event; shutting log-core down
[14:42:20] [INFO] received Windows console close event; shutting log-core down
[16:04:32] [INFO] received Windows console close event; shutting log-core down
[17:24:58] [INFO] received Windows console close event; shutting log-core down
[17:50:09] [INFO] received Windows console close event; shutting log-core down
[20:48:13] [INFO] received Windows console close event; shutting log-core down
[21:00:51] [INFO] received Windows console close event; shutting log-core down
[04:05:52] [INFO] received Windows console close event; shutting log-core down
[04:08:28] [INFO] received Windows console close event; shutting log-core down
[14:49:59] [INFO] received Windows console close event; shutting log-core down
[14:52:58] [INFO] received Windows console close event; shutting log-core down
[18:02:06] [INFO] received Windows console close event; shutting log-core down
[18:22:58] [INFO] received Windows console close event; shutting log-core down
[18:25:29] [INFO] received Windows console close event; shutting log-core down
[22:15:13] [INFO] received Windows console close event; shutting log-core down
[22:37:27] [INFO] received Windows console close event; shutting log-core down
[22:41:10] [INFO] received Windows console close event; shutting log-core down
[22:46:27] [INFO] received Windows console close event; shutting log-core down
[22:52:02] [INFO] received Windows console close event; shutting log-core down
[22:54:40] [INFO] received Windows console close event; shutting log-core down
[23:05:16] [INFO] received Windows console close event; shutting log-core down
[12:22:38] [INFO] received Windows console close event; shutting log-core down
[19:00:03] [INFO] received Windows console close event; shutting log-core down
[19:00:26] [INFO] received Windows console close event; shutting log-core down
[22:25:08] [INFO] received Windows console close event; shutting log-core down
[22:40:22] [INFO] received Windows console close event; shutting log-core down
[22:50:56] [INFO] received Windows console close event; shutting log-core down
[23:01:08] [INFO] received Windows console close event; shutting log-core down
[23:03:13] [INFO] received Windows console close event; shutting log-core down
[23:07:45] [INFO] received Windows console close event; shutting log-core down
[23:12:58] [INFO] received Windows console close event; shutting log-core down
[23:19:41] [INFO] received Windows console close event; shutting log-core down
[23:24:46] [INFO] received Windows console close event; shutting log-core down
[23:25:53] [INFO] received Windows console close event; shutting log-core down
[00:17:07] [INFO] received Windows console close event; shutting log-core down
[00:25:19] [INFO] received Windows console close event; shutting log-core down
[00:26:46] [INFO] received Windows console close event; shutting log-core down
[00:31:44] [INFO] received Windows console close event; shutting log-core down
[00:32:36] [INFO] received Windows console close event; shutting log-core down
[00:44:45] [INFO] received Windows console close event; shutting log-core down
[00:47:12] [INFO] received Windows console close event; shutting log-core down
[01:16:20] [INFO] received Windows console close event; shutting log-core down
[01:48:04] [INFO] received Windows console close event; shutting log-core down
[01:49:25] [INFO] received Windows console close event; shutting log-core down
[01:54:48] [INFO] received Windows console close event; shutting log-core down
[02:09:05] [INFO] received Windows console close event; shutting log-core down
[02:12:00] [INFO] received Windows console close event; shutting log-core down
[11:48:07] [INFO] received Windows console close event; shutting log-core down
[11:48:31] [INFO] received Windows console close event; shutting log-core down
[11:55:43] [INFO] received Windows console close event; shutting log-core down
[11:59:08] [INFO] received Windows console close event; shutting log-core down
[12:03:13] [INFO] received Windows console close event; shutting log-core down
[18:06:34] [INFO] received Windows console close event; shutting log-core down
[18:54:03] [INFO] received Windows console close event; shutting log-core down
[18:57:34] [INFO] received Windows console close event; shutting log-core down
[19:00:46] [INFO] received Windows console close event; shutting log-core down
[19:05:03] [INFO] received Windows console close event; shutting log-core down
[19:07:14] [INFO] received Windows console close event; shutting log-core down
[19:09:51] [INFO] received Windows console close event; shutting log-core down
[19:31:08] [INFO] received Windows console close event; shutting log-core down
[19:33:24] [INFO] received Windows console close event; shutting log-core down
[19:35:08] [INFO] received Windows console close event; shutting log-core down
[22:59:57] [INFO] received Windows console close event; shutting log-core down
[23:02:02] [INFO] received Windows console close event; shutting log-core down
[23:06:34] [INFO] received Windows console close event; shutting log-core down
[23:08:30] [INFO] received Windows console close event; shutting log-core down
[00:09:42] [INFO] received Windows console close event; shutting log-core down
[00:11:56] [INFO] received Windows console close event; shutting log-core down
[00:17:15] [INFO] received Windows console close event; shutting log-core down
[00:18:39] [INFO] received Windows console close event; shutting log-core down
[00:20:55] [INFO] received Windows console close event; shutting log-core down
[00:27:04] [INFO] received Windows console close event; shutting log-core down
[00:42:51] [INFO] received Windows console close event; shutting log-core down
[00:45:18] [INFO] received Windows console close event; shutting log-core down
[00:48:03] [INFO] received Windows console close event; shutting log-core down
[00:51:11] [INFO] received Windows console close event; shutting log-core down
[00:54:48] [INFO] received Windows console close event; shutting log-core down
[00:58:37] [INFO] received Windows console close event; shutting log-core down
[01:01:09] [INFO] received Windows console close event; shutting log-core down
[01:06:30] [INFO] received Windows console close event; shutting log-core down
[02:15:46] [INFO] received Windows console close event; shutting log-core down
[13:27:10] [INFO] received Windows console close event; shutting log-core down
[14:11:00] [INFO] received Windows console close event; shutting log-core down
[14:13:31] [INFO] received Windows console close event; shutting log-core down
[14:18:57] [INFO] received Windows console close event; shutting log-core down
[14:22:52] [INFO] received Windows console close event; shutting log-core down
[14:24:31] [INFO] received Windows console close event; shutting log-core down
[14:26:00] [INFO] received Windows console close event; shutting log-core down
[14:29:37] [INFO] received Windows console close event; shutting log-core down
[14:30:52] [INFO] received Windows console close event; shutting log-core down
[15:18:54] [INFO] received Windows console close event; shutting log-core down
[15:57:46] [INFO] received Windows console close event; shutting log-core down
[16:01:07] [INFO] received Windows console close event; shutting log-core down
[16:02:29] [INFO] received Windows console close event; shutting log-core down
[16:06:04] [INFO] received Windows console close event; shutting log-core down
[16:07:52] [INFO] received Windows console close event; shutting log-core down
[00:00:52] [INFO] received Windows console close event; shutting log-core down
[00:02:46] [INFO] received Windows console close event; shutting log-core down
[14:29:25] [INFO] received Windows console close event; shutting log-core down
[14:30:29] [INFO] received Windows console close event; shutting log-core down
[11:36:34] [INFO] received Windows console close event; shutting log-core down
[11:43:02] [INFO] received Windows console close event; shutting log-core down
[11:46:26] [INFO] received Windows console close event; shutting log-core down
[11:47:44] [INFO] received Windows console close event; shutting log-core down
[11:51:47] [INFO] received Windows console close event; shutting log-core down
[15:12:11] [INFO] received Windows console close event; shutting log-core down
[15:19:10] [INFO] received Windows console close event; shutting log-core down
